sim_time_s,v_bus_v,soc_pct,i_batt_a,p_batt_w,p_load_w,p_source_w,source_at_limit,p_batt_ref_w,state_code,charge_headroom_w,p_load_nominal_w,voltage_error_v,llm_mode_code,llm_requested_power_w,llm_command_valid,llm_command_seq,llm_command_age_s
90.905,400.000000000003,15.0080442746285,0.0593749999999996,24.9999999912731,-500.000000000004,476.250000001828,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.906,400.000000000009,15.0080442238544,0.0593749999999987,24.9999999912732,-500.000000000011,476.250000001585,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.907,400.000000000009,15.0080441730804,0.0593749999999987,24.9999999912732,-500.000000000011,476.250000001572,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.908,400.000000000006,15.0080441223063,0.0593749999999992,24.9999999912732,-500.000000000007,476.250000001674,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.909,400.000000000003,15.0080440715322,0.0593749999999996,24.9999999912732,-500.000000000004,476.250000001783,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.91,400,15.0080440207582,0.0593750000000001,24.9999999912732,-500,476.250000001907,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.911,400,15.0080439699841,0.0593750000000001,24.9999999912732,-500,476.250000001912,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.912,400,15.00804391921,0.0593750000000001,24.9999999912731,-499.999999999999,476.250000001918,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.913,399.999999999999,15.008043868436,0.0593750000000001,24.9999999912732,-499.999999999999,476.250000001923,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.914,399.999999999999,15.0080438176619,0.0593750000000001,24.9999999912731,-499.999999999999,476.250000001929,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.915,399.999999999999,15.0080437668878,0.0593750000000001,24.9999999912732,-499.999999999999,476.250000001935,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.916,399.999999999999,15.0080437161138,0.0593750000000002,24.9999999912732,-499.999999999999,476.250000001941,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.917,399.999999999999,15.0080436653397,0.0593750000000002,24.9999999912732,-499.999999999999,476.250000001948,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.918,399.999999999999,15.0080436145656,0.0593750000000002,24.9999999912732,-499.999999999999,476.250000001954,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.919,399.999999999999,15.0080435637916,0.0593750000000002,24.9999999912732,-499.999999999998,476.250000001961,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.92,399.999999999999,15.0080435130175,0.0593750000000002,24.9999999912732,-499.999999999998,476.250000001968,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.921,399.999999999999,15.0080434622434,0.0593750000000002,24.9999999912732,-499.999999999998,476.250000001976,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.922,399.999999999998,15.0080434114694,0.0593750000000003,24.9999999912732,-499.999999999998,476.250000001983,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.923,399.999999999998,15.0080433606953,0.0593750000000003,24.9999999912732,-499.999999999998,476.250000001991,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.924,399.999999999998,15.0080433099212,0.0593750000000003,24.9999999912732,-499.999999999998,476.250000001999,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.925,399.999999999998,15.0080432591472,0.0593750000000003,24.9999999912732,-499.999999999998,476.250000002007,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.926,399.999999999998,15.0080432083731,0.0593750000000003,24.9999999912732,-499.999999999997,476.250000002016,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.927,399.999999999998,15.008043157599,0.0593750000000004,24.9999999912732,-499.999999999997,476.250000002025,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
