sim_time_s,v_bus_v,soc_pct,i_batt_a,p_batt_w,p_load_w,p_source_w,source_at_limit,p_batt_ref_w,state_code,charge_headroom_w,p_load_nominal_w,voltage_error_v,llm_mode_code,llm_requested_power_w,llm_command_valid,llm_command_seq,llm_command_age_s
49.648,400.000000000001,15.0073762495583,-0.263157894736842,-100.000000138256,-200,305.263157890252,0,-100,1,275,200,0,-1,-100,1,147,2.99e-05
49.649,399.999999999999,15.0073764519805,-0.263157894736842,-100.000000138256,-200,305.263157890302,0,-100,1,275,200,0,-1,-100,1,147,2.99e-05
49.65,399.999999999998,15.0073766544027,-0.263157894736843,-100.000000138256,-199.999999999999,305.263157890355,0,-100,1,275,200,0,-1,-100,1,147,2.99e-05
49.651,399.999999999997,15.0073768568249,-0.263157894736844,-100.000000138256,-199.999999999998,305.26315789041,0,-100,1,275,200,0,-1,-100,1,147,2.99e-05
49.652,399.999999999999,15.0073770592471,-0.263157894736843,-100.000000138256,-199.999999999999,305.263157890341,0,-100,1,275,200,0,-1,-100,1,147,2.99e-05
49.653,400.000000000001,15.0073772616692,-0.263157894736842,-100.000000138256,-200,305.263157890269,0,-100,1,275,200,0,-1,-100,1,147,2.99e-05
49.654,400.000000000002,15.0073774640914,-0.26315789473684,-100.000000138256,-200.000000000001,305.263157890193,0,-100,1,275,200,0,-1,-100,1,147,2.99e-05
49.655,400.000000000001,15.0073776665136,-0.263157894736841,-100.000000138256,-200.000000000001,305.263157890239,0,-100,1,275,200,0,-1,-100,1,147,2.99e-05
49.656,400,15.0073778689358,-0.263157894736842,-100.000000138256,-200,305.263157890289,0,-100,1,275,200,0,-1,-100,1,147,2.99e-05
49.657,399.999999999999,15.007378071358,-0.263157894736843,-100.000000138256,-199.999999999999,305.26315789034,0,-100,1,275,200,0,-1,-100,1,147,2.99e-05
49.658,399.999999999997,15.0073782737802,-0.263157894736844,-100.000000138256,-199.999999999999,305.263157890395,0,-100,1,275,200,0,-1,-100,1,147,2.99e-05
49.659,399.999999999999,15.0073784762024,-0.263157894736842,-100.000000138256,-200,305.263157890325,0,-100,1,275,200,0,-1,-100,1,147,2.99e-05
49.66,400.000000000001,15.0073786786246,-0.263157894736841,-100.000000138256,-200.000000000001,305.263157890251,0,-100,1,275,200,0,-1,-100,1,147,2.99e-05
49.661,400.000000000003,15.0073788810468,-0.26315789473684,-100.000000138256,-200.000000000001,305.263157890175,0,-100,1,275,200,0,-1,-100,1,147,2.99e-05
49.662,400.000000000002,15.007379083469,-0.263157894736841,-100.000000138256,-200.000000000001,305.26315789022,0,-100,1,275,200,0,-1,-100,1,147,2.99e-05
49.663,400,15.0073792858911,-0.263157894736842,-100.000000138256,-200,305.263157890269,0,-100,1,275,200,0,-1,-100,1,147,2.99e-05
49.664,399.999999999999,15.0073794883133,-0.263157894736843,-100.000000138256,-200,305.26315789032,0,-100,1,275,200,0,-1,-100,1,147,2.99e-05
49.665,399.999999999998,15.0073796907355,-0.263157894736843,-100.000000138256,-199.999999999999,305.263157890373,0,-100,1,275,200,0,-1,-100,1,147,2.99e-05
49.666,400,15.0073798931577,-0.263157894736842,-100.000000138256,-200,305.263157890302,0,-100,1,275,200,0,-1,-100,1,147,2.99e-05
49.667,400.000000000001,15.0073800955797,-0.263157894736841,-100.000000138256,-200.000000000001,305.263157890228,0,-100,1,275,200,0,-1,-100,1,147,2.99e-05
49.668,400,15.0073802980017,-0.263157894736842,-100.000000138256,-200,305.263157890277,0,-100,1,275,200,0,-1,-100,1,147,2.99e-05
49.669,399.999999999999,15.0073805004237,-0.263157894736843,-100.000000138256,-199.999999999999,305.263157890328,0,-100,1,275,200,0,-1,-100,1,147,2.99e-05
49.67,399.999999999998,15.0073807028456,-0.263157894736843,-100.000000138256,-199.999999999999,305.263157890381,0,-100,1,275,200,0,-1,-100,1,147,2.99e-05
49.671,400,15.0073809052676,-0.263157894736842,-100.000000138256,-200,305.263157890311,0,-100,1,275,200,0,-1,-100,1,147,2.99e-05
49.672,400.000000000001,15.0073811076896,-0.263157894736841,-100.000000138256,-200.000000000001,305.263157890237,0,-100,1,275,200,0,-1,-100,1,147,2.99e-05
49.673,400.000000000003,15.0073813101116,-0.26315789473684,-100.000000138256,-200.000000000002,305.263157890159,0,-100,1,275,200,0,-1,-100,1,147,2.99e-05
49.674,400.000000000002,15.0073815125335,-0.263157894736841,-100.000000138256,-200.000000000001,305.263157890204,0,-100,1,275,200,0,-1,-100,1,147,2.99e-05
49.675,400.000000000001,15.0073817149555,-0.263157894736842,-100.000000138256,-200,305.263157890252,0,-100,1,275,200,0,-1,-100,1,147,2.99e-05
49.676,399.999999999999,15.0073819173775,-0.263157894736842,-100.000000138256,-200,305.263157890302,0,-100,1,275,200,0,-1,-100,1,147,2.99e-05
49.677,399.999999999998,15.0073821197995,-0.263157894736843,-100.000000138256,-199.999999999999,305.263157890355,0,-100,1,275,200,0,-1,-100,1,147,2.99e-05
49.678,399.999999999997,15.0073823222215,-0.263157894736844,-100.000000138256,-199.999999999998,305.26315789041,0,-100,1,275,200,0,-1,-100,1,147,2.99e-05
